Name,Address,Latitude,Longitude
KFC Park Ridge,"Centre, 3732/3744 Mount Lindesay Hwy, Park Ridge QLD 4125",-27.6978711,153.0388602
KFC Pimpama,"119 Pimpama Jacobs Well Rd, Pimpama QLD 4209",-27.8136352,153.2911575
KFC Queen Street Mall,"226A Albert St, Brisbane City QLD 4000",-27.4694859,153.0249582
KFC Redbank,"Redbank Plaza Shopping Centre, 1 Collingwood Dr, Redbank QLD 4301",-27.6055825,152.8677964
KFC Redbank Plains,"389 Redbank Plains Rd, Redbank Plains QLD 4301",-27.6457792,152.8706983
KFC Redcliffe,"76 Anzac Ave, Redcliffe QLD 4020",-27.229803,153.1088048
KFC Richlands,"205 Government Rd, Richlands QLD 4077",-27.599725,152.950221
KFC Robina,"118-120 Robina Town Centre Dr, Robina QLD 4226",-28.0809886,153.385635
KFC Runaway Bay,"Runaway shopping centre, 26 Lae Dr, Runaway Bay QLD 4216",-27.9135948,153.4012109
KFC Southport,"41 Ferry Rd, Southport QLD 4215",-27.9752162,153.4097479
KFC Springfield,"1 Main St, Springfield Lakes QLD 4300",-27.6760455,152.9038855
KFC Springfield Parkway,"51 Springfield Pkwy, Springfield QLD 4300",-27.6524646,152.9210137
KFC Springwood,"CNR 3384 Pacific Highway and, Dennis Rd, Springwood QLD 4127",-27.615872,153.1393955
KFC Strathpine,"370 Gympie Rd, Strathpine QLD 4500",-27.3052155,152.9889076
KFC Sunnybank,"31 Mains Rd, Sunnybank QLD 4109",-27.5692838,153.0649402
KFC Surfers Paradise,"Soul, Shop T1.12/14 Esplanade, Surfers Paradise QLD 4217",-28.001611,153.4304446
KFC The Pines,"The Pines, 5 The Pines Shopping Centre Access, Palm Beach QLD 4221",-28.1353673,153.4694594
KFC Thornlands,"154 Boundary Rd, Thornlands QLD 4164",-27.5676245,153.2500346
KFC Tingalpa,"1470 State Route 23, Tingalpa QLD 4173",-27.4742717,153.1218386
KFC Tweed Heads,"112 Minjungbal Dr, Tweed Heads South NSW 2486",-28.2061256,153.5449981
KFC Underwood,"10 Lexington Rd, Underwood QLD 4119",-27.6122416,153.121757
KFC Upper Coomera,"195 Old Coach Rd, Upper Coomera QLD 4209",-27.8537097,153.2992044
KFC Victoria Point,"439-447 Cleveland - Redland Bay Rd, Victoria Point QLD 4165",-27.5843828,153.2811349
KFC Warner,"1185 Old N Rd, Warner QLD 4500",-27.3108989,152.9628373
KFC Windsor,"143 Newmarket Rd, Windsor QLD 4030",-27.4366292,153.023317
KFC Woodridge,"1 Mayes Ave, Logan Central QLD 4114",-27.6415953,153.1094146
KFC Wynnum,"2059-2067 Wynnum Rd, Wynnum QLD 4178",-27.454079,153.1556754
KFC Yamanto,"444 Warwick Rd, Yamanto QLD 4305",-27.6581843,152.7456195
Taco Bell Annerley,"594 Ipswich Rd, Annerley QLD 4103",-27.5147084,153.0309904
Taco Bell Beenleigh,"151 George St, Beenleigh QLD 4207",-27.7163846,153.2065469
Taco Bell Cleveland,"1 Grant St, Cleveland QLD 4163",-27.5241674,153.2525786
Taco Bell Coomera South,"Foxwell Rd, Coomera QLD 4209",-27.8527498,153.3344335
Taco Bell Coorparoo,"208 Old Cleveland Rd, Coorparoo QLD 4151",-27.4967498,153.054188
Taco Bell East Ipswich,"70 Brisbane Rd, East Ipswich QLD 4305",-27.6128434,152.7806682
Taco Bell Eatons Hill,"Shopping Centre, Bunya Park Drive Eatons Hill Village, Brendale QLD 4500",-27.3381648,152.9615236
Taco Bell Keperra,"523 Settlement Rd, Keperra QLD 4054",-27.4184862,152.9482038
Taco Bell Logan Central,"26 Wembley Rd, Logan Central QLD 4114",-27.6425244,153.1156207
Taco Bell Morayfield,"182-190 Morayfield Rd, Morayfield QLD 4506",-27.1047054,152.9467958
Taco Bell North Lakes,"144 Diamond Jubilee Way, North Lakes QLD 4509",-27.2147634,152.9992955
Taco Bell Robina,"130 Robina Town Centre Dr, Robina QLD 4226",-28.0807964,153.3845737
Taco Bell Southport,"80 Ferry Rd, Southport QLD 4215",-27.9775592,153.4116913
Taco Bell Underwood,"10 Lexington Rd, Underwood QLD 4119",-27.6122416,153.121757
